amountOfVerbs,amountOfPronouns,amountOfNouns,amountOfAdjectives,amountOfAdverbs,restOfWords,totalAmount,id
3,2,4,1,2,0,12,2420
2,1,2,1,0,2,8,2421
1,0,10,1,0,4,16,2422
0,0,5,0,0,0,5,2423
1,1,10,2,0,2,16,2425
3,2,15,0,0,2,22,2427
2,0,11,0,0,5,18,2428
2,1,2,0,2,3,10,2429
1,1,6,1,0,4,13,2430
0,0,4,0,0,4,8,2432
3,4,9,0,3,9,28,2435
1,0,6,0,0,6,13,2437
2,0,6,1,0,3,12,2438
0,0,15,1,0,5,21,2440
0,0,11,2,0,2,15,2441
2,2,5,3,0,3,15,2442
2,0,11,0,1,5,19,2443
1,2,5,3,3,3,17,2445
0,0,9,0,0,3,12,2446
4,1,6,0,3,7,21,2451
0,0,4,1,0,2,7,2452
2,5,3,0,1,8,19,2453
2,1,7,1,0,4,15,2454
5,2,6,1,0,3,17,2455
5,4,4,2,1,9,25,2456
2,2,6,0,0,5,15,2457
1,0,9,4,0,5,19,2458
1,1,9,0,0,5,16,2459
2,0,10,1,0,4,17,2460
4,0,9,0,3,6,22,2462
3,2,6,1,0,5,17,2463
4,0,8,1,0,4,17,2464
3,0,12,2,0,2,19,2465
5,0,9,0,1,3,18,2466
6,2,9,0,0,5,22,2467
2,1,7,0,0,4,14,2468
2,0,5,0,0,2,9,2470
3,0,8,2,1,5,19,2471
1,1,4,0,0,7,13,2475
3,0,17,0,0,7,27,2476
6,4,3,0,2,7,22,2478
2,1,9,1,0,3,16,2479
4,0,7,3,0,8,22,2480
7,5,4,1,4,5,26,2482
7,1,11,1,1,7,28,2483
5,5,4,0,1,10,25,2485
1,0,2,0,1,0,4,2486
2,1,5,0,1,2,11,2487
1,1,9,0,0,5,16,2488
7,0,6,2,0,10,25,2489
7,4,7,1,1,8,28,2490
3,0,11,0,0,8,22,2491
4,1,10,0,1,6,22,2492
3,0,8,1,0,8,20,2493
2,1,9,1,1,5,19,2494
2,0,11,2,0,4,19,2496
4,0,7,3,0,8,22,2497
3,0,5,0,1,7,16,2498
3,0,8,0,0,4,15,2499
3,1,6,1,0,5,16,2500
3,2,9,1,0,3,18,2501
1,1,6,1,1,2,12,2502
3,0,9,2,0,6,20,2504
1,2,6,0,2,4,15,2505
0,0,15,0,0,1,16,2506
1,0,17,0,0,6,24,2507
1,0,13,0,0,7,21,2508
0,0,15,0,0,1,16,2510
1,0,10,3,1,4,19,2512
0,0,16,0,0,0,16,2513
0,0,6,0,0,0,6,2514
3,0,9,2,0,6,20,2515
1,0,5,2,0,4,12,2516
3,0,9,2,0,6,20,2517
0,2,18,0,0,6,26,2519
1,0,11,0,2,4,18,2520
0,0,9,1,0,0,10,2521
0,0,8,1,0,0,9,2523
0,0,16,0,0,0,16,2524
2,1,7,0,0,6,16,2527
0,0,18,0,0,0,18,2528
0,0,14,0,0,0,14,2530
1,0,5,0,0,0,6,2531
5,2,7,1,2,6,23,2532
1,0,6,0,0,2,9,2534
0,0,18,0,0,0,18,2535
2,0,7,3,0,7,19,2536
2,0,11,2,1,7,23,2537
3,3,7,1,2,2,18,2538
2,0,8,3,0,4,17,2539
0,0,9,1,0,1,11,2540
3,0,12,0,0,11,26,2541
2,0,8,0,0,4,14,2542
0,0,14,0,0,1,15,2543
0,0,11,0,0,4,15,2544
2,0,9,1,0,2,14,2545
1,0,6,0,0,2,9,2546
1,0,7,0,0,3,11,2547
0,0,17,0,0,1,18,2548
0,0,6,0,0,0,6,2550
2,1,6,2,2,7,20,2552
4,0,18,4,0,4,30,2553
1,1,4,1,0,4,11,2554
0,1,7,1,0,2,11,2555
4,1,5,1,1,5,17,2556
0,0,5,1,0,1,7,2557
2,1,5,1,0,5,14,2559
4,1,6,0,0,4,15,2560
1,0,4,1,3,0,9,2561
2,2,7,0,0,4,15,2564
0,1,5,0,0,5,11,2565
0,0,8,1,0,1,10,2566
3,1,7,1,0,7,19,2568
1,0,2,1,0,0,4,2569
0,0,4,0,0,0,4,2570
0,0,13,1,0,7,21,2571
2,1,2,0,0,2,7,2572
4,5,6,1,0,9,25,2573
1,0,2,0,0,1,4,2575
0,0,5,1,0,0,6,2576
4,0,9,1,0,6,20,2579
0,1,3,1,0,0,5,2582
4,2,12,0,3,3,24,2585
2,0,9,2,1,5,19,2587
1,0,5,0,0,3,9,2588
1,0,8,2,0,0,11,2590
0,0,6,1,0,0,7,2591
0,0,9,0,0,1,10,2592
2,0,5,0,0,1,8,2593
3,2,0,1,0,4,10,2594
2,0,7,0,0,3,12,2597
3,0,12,0,0,5,20,2598
2,0,4,3,0,1,10,2599
0,0,11,0,0,5,16,2602
4,2,2,1,0,3,12,2603
1,0,8,0,0,3,12,2604
2,0,9,0,0,2,13,2605
3,6,4,0,2,7,22,2606
3,1,11,1,0,4,20,2608
3,0,9,0,2,5,19,2609
5,2,9,2,1,7,26,2611
1,0,7,1,0,4,13,2612
3,0,8,1,2,4,18,2614
2,1,4,2,1,1,11,2616
3,0,6,3,3,3,18,2617
1,1,3,1,0,1,7,2619
3,0,3,2,2,7,17,2621
1,1,2,0,0,0,4,2622
4,1,5,2,3,4,19,2624
1,0,22,1,1,2,27,2625
1,0,4,0,0,1,6,2627
1,0,3,1,1,5,11,2628
4,0,5,2,1,3,15,2629
3,0,8,0,2,3,16,2631
7,5,7,1,3,6,29,2632
3,0,13,0,0,6,22,2633
1,0,12,0,0,2,15,2635
6,0,11,0,0,8,25,2637
1,0,2,2,1,0,6,2640
9,7,2,0,2,6,26,2641
3,4,4,2,3,5,21,2642
4,3,6,0,2,4,19,2643
4,1,7,4,4,4,24,2644
1,2,4,2,0,4,13,2645
4,0,6,2,0,3,15,2647
3,0,10,0,2,3,18,2648
1,0,8,2,1,6,18,2649
3,0,6,1,1,1,12,2651
2,3,6,1,2,4,18,2655
0,0,4,0,0,0,4,2656
1,1,7,0,0,1,10,2657
1,2,4,0,3,2,12,2658
5,5,3,1,4,1,19,2659
1,0,2,0,0,0,3,2660
1,1,7,1,0,2,12,2661
1,1,4,1,0,1,8,2663
0,0,4,0,0,0,4,2664
1,0,3,0,0,1,5,2666
0,1,3,1,0,0,5,2667
2,2,4,1,0,0,9,2668
2,2,4,1,1,3,13,2670
0,0,5,1,0,0,6,2671
1,0,3,0,0,2,6,2672
1,1,4,0,0,2,8,2673
0,0,8,0,0,2,10,2675
1,0,5,3,1,2,12,2676
0,0,6,1,1,1,9,2677
4,4,1,2,1,4,16,2679
6,2,7,2,0,5,22,2680
1,0,4,1,2,2,10,2682
1,2,4,1,0,4,12,2683
1,1,3,1,1,1,8,2684
1,2,2,1,0,2,8,2687
4,0,4,1,0,2,11,2688
0,0,5,0,0,0,5,2689
3,2,3,2,2,5,17,2691
1,0,3,0,0,1,5,2692
0,0,6,0,0,0,6,2693
1,0,3,0,0,1,5,2694
0,0,4,1,0,2,7,2695
3,0,3,1,4,6,17,2696
3,0,6,0,0,5,14,2698
0,0,5,0,0,0,5,2700
6,6,2,0,2,2,18,2701
0,0,4,1,0,0,5,2702
1,0,0,0,0,0,1,2703
2,0,2,0,0,2,6,2706
2,0,2,0,0,1,5,2707
0,0,6,0,0,0,6,2708
1,1,1,0,0,0,3,2709
1,0,11,0,0,3,15,2711
1,2,8,2,2,5,20,2714
0,0,3,0,0,0,3,2715
0,0,6,1,0,1,8,2719
1,0,4,1,0,2,8,2720
5,1,6,1,4,9,26,2723
1,1,3,0,0,1,6,2724
4,1,4,0,2,2,13,2725
1,0,9,0,0,3,13,2726
5,2,6,0,1,4,18,2727
3,2,3,1,2,2,13,2728
2,0,4,1,0,1,8,2729
1,1,9,0,0,10,21,2730
1,0,2,0,1,1,5,2731
2,0,3,0,0,2,7,2732
1,0,9,0,0,3,13,2733
3,0,4,0,0,2,9,2734
1,1,9,0,0,10,21,2736
2,1,3,0,2,1,9,2739
2,0,2,0,0,1,5,2740
1,0,9,2,0,1,13,2741
6,2,4,1,2,6,21,2743
3,0,15,4,0,0,22,2744
1,1,5,0,0,3,10,2748
1,1,5,0,0,2,9,2749
2,0,10,4,1,3,20,2752
2,0,4,0,0,2,8,2753
4,0,12,1,0,5,22,2755
1,0,3,0,0,1,5,2756
1,0,3,0,0,4,8,2757
6,1,5,6,2,5,25,2758
2,0,5,0,1,4,12,2759
5,0,9,0,1,4,19,2760
1,0,5,1,2,8,17,2761
2,2,2,0,0,1,7,2763
2,2,2,0,1,2,9,2765
0,0,7,0,0,0,7,2766
0,0,20,0,0,9,29,2767
2,2,4,1,1,1,11,2768
3,2,2,0,1,1,9,2769
2,2,5,1,2,6,18,2770
1,0,2,1,0,2,6,2771
2,2,2,1,0,3,10,2773
3,1,5,2,0,6,17,2774
2,2,5,1,0,5,15,2777
1,0,3,0,0,1,5,2778
3,1,10,1,1,10,26,2780
2,0,7,2,0,6,17,2782
7,2,7,1,1,8,26,2783
4,0,3,1,3,3,14,2784
1,2,4,2,0,1,10,2785
6,2,5,0,1,7,21,2786
0,0,19,0,0,8,27,2787
6,0,5,2,1,11,25,2788
0,0,20,0,0,9,29,2792
4,1,17,1,2,5,30,2793
2,1,3,0,1,2,9,2794
1,1,1,1,0,1,5,2795
3,1,6,1,0,7,18,2796
0,0,6,0,0,1,7,2797
4,4,5,1,4,12,30,2799
2,1,4,2,0,5,14,2801
0,0,10,0,0,2,12,2802
0,0,6,0,0,0,6,2803
4,2,8,1,0,7,22,2807
0,0,17,1,0,2,20,2808
5,3,4,2,1,7,22,2811
6,2,3,2,0,6,19,2813
1,0,18,0,0,3,22,2815
2,2,4,0,0,7,15,2817
0,0,9,0,0,3,12,2819
0,0,9,1,0,2,12,2820
0,0,19,0,0,4,23,2821
2,1,8,0,1,4,16,2822
1,0,6,1,0,1,9,2825
3,2,7,0,0,3,15,2826
0,0,14,0,0,6,20,2827
2,0,8,1,1,5,17,2828
5,2,8,0,0,7,22,2829
1,0,3,0,0,1,5,2830
0,0,9,0,0,3,12,2831
0,0,11,0,0,0,11,2832
2,0,7,3,1,4,17,2833
1,1,9,0,0,7,18,2835
0,0,13,0,0,2,15,2836
1,0,3,0,0,3,7,2838
0,0,17,0,0,1,18,2839
0,0,15,0,0,2,17,2841
0,0,15,3,0,3,21,2842
4,2,4,0,0,3,13,2843
0,0,6,0,0,3,9,2844
2,0,4,3,0,6,15,2846
1,0,14,0,1,3,19,2849
2,0,11,0,1,4,18,2851
2,0,8,1,0,6,17,2852
3,3,5,1,2,4,18,2853
0,1,2,2,0,3,8,2854
4,2,6,4,1,5,22,2855
1,1,10,1,0,2,15,2856
0,0,12,0,0,5,17,2857
0,0,4,1,0,0,5,2858
5,2,9,0,1,9,26,2860
1,0,6,0,0,1,8,2861
1,0,5,1,0,4,11,2863
2,0,4,1,1,5,13,2864
1,1,2,1,3,2,10,2865
3,0,5,1,0,3,12,2866
4,2,9,3,2,8,28,2867
1,0,5,0,0,1,7,2869
2,0,4,0,0,3,9,2870
3,1,9,1,1,7,22,2871
0,0,9,0,0,3,12,2872
7,3,3,4,3,7,27,2873
4,2,6,3,1,7,23,2875
6,3,6,0,0,4,19,2877
2,0,8,1,1,2,14,2878
5,2,5,1,0,3,16,2879
6,3,6,1,2,7,25,2880
5,1,5,1,0,6,18,2881
0,0,4,0,0,0,4,2882
4,0,6,0,0,2,12,2883
5,1,8,6,0,4,24,2884
4,0,7,1,1,2,15,2885
1,1,3,0,0,1,6,2886
3,2,5,1,1,3,15,2887
0,1,17,1,0,2,21,2888
0,0,6,1,0,3,10,2889
0,0,16,0,0,4,20,2890
3,0,7,1,0,7,18,2891
1,0,10,1,0,2,14,2893
1,0,9,3,0,5,18,2895
2,1,7,1,0,3,14,2896
1,0,2,1,0,3,7,2898
1,1,6,0,0,1,9,2899
0,0,2,2,0,0,4,2900
5,4,5,1,1,4,20,2902
3,2,7,1,2,8,23,2905
6,2,5,2,2,8,25,2907
1,0,3,0,0,1,5,2908
2,0,10,1,1,4,18,2909
3,0,6,2,1,3,15,2910
1,1,9,2,0,4,17,2911
2,0,5,2,3,3,15,2912
2,2,2,0,0,5,11,2913
2,2,8,3,0,7,22,2915
3,2,6,1,1,5,18,2916
2,2,6,2,1,4,17,2917
3,2,9,1,0,7,22,2920
0,0,11,1,0,0,12,2921
5,3,5,4,0,7,24,2922
1,0,5,0,1,3,10,2924
1,0,9,2,0,6,18,2925
1,0,2,1,2,1,7,2927
0,0,11,0,1,0,12,2929
3,1,4,3,0,3,14,2931
2,3,4,1,0,3,13,2932
1,0,7,3,1,3,15,2933
3,0,10,1,0,10,24,2934
0,0,11,1,0,0,12,2935
1,0,11,0,0,0,12,2936
0,0,7,0,0,3,10,2937
6,2,6,0,1,7,22,2939
4,1,5,1,1,4,16,2941
0,0,6,0,1,0,7,2942
1,0,8,2,0,3,14,2943
4,0,8,1,1,7,21,2944
2,2,6,3,1,10,24,2945
2,2,3,0,1,2,10,2946
1,2,4,2,1,7,17,2947
2,3,10,0,1,7,23,2948
2,2,8,3,2,9,26,2950
7,2,7,0,0,10,26,2952
0,0,4,0,0,4,8,2953
2,0,8,3,0,7,20,2954
1,0,6,6,3,5,21,2955
3,3,5,2,2,1,16,2956
6,0,5,3,1,3,18,2957
2,1,6,1,0,4,14,2959
2,3,8,2,0,4,19,2960
3,1,4,2,1,5,16,2963
1,0,2,3,0,0,6,2965
7,4,3,5,5,4,28,2969
4,1,8,1,1,2,17,2970
0,0,11,2,1,5,19,2971
1,0,9,3,0,2,15,2973
10,6,3,4,1,8,32,2974
2,1,1,2,0,1,7,2975
2,0,3,0,1,0,6,2976
2,1,5,9,3,6,26,2980
0,0,8,1,0,4,13,2982
4,6,9,2,1,6,28,2983
2,0,8,2,1,5,18,2984
2,0,3,1,3,4,13,2987
0,0,5,0,0,0,5,2988
4,1,8,4,2,10,29,2990
1,0,5,1,0,1,8,2991
2,1,4,3,0,2,12,2992
0,0,8,0,0,1,9,2993
2,1,2,2,0,0,7,2995
1,1,1,1,0,0,4,2998
4,1,4,2,1,6,18,3000
2,0,4,3,0,0,9,3001
4,7,6,2,1,8,28,3003
4,5,6,1,2,5,23,3004
1,1,3,0,1,2,8,3005
3,1,2,0,0,0,6,3006
2,1,3,1,2,2,11,3009
0,0,5,0,0,2,7,3010
0,0,11,1,0,3,15,3011
2,1,2,0,1,4,10,3012
1,1,7,1,1,3,14,3013
5,2,8,0,1,5,21,3014
1,1,1,0,0,1,4,3015
1,1,7,1,0,2,12,3016
8,6,5,0,1,4,24,3018
1,0,8,1,0,2,12,3019
3,3,5,2,0,3,16,3021
3,0,7,0,1,9,20,3022
3,1,2,2,2,1,11,3023
1,0,4,0,0,0,5,3025
1,0,2,0,0,1,4,3026
2,0,1,0,0,2,5,3027
1,0,10,0,0,3,14,3029
1,0,4,0,0,0,5,3030
1,1,4,1,0,1,8,3034
5,1,11,0,0,9,26,3036
1,0,11,0,0,4,16,3037
3,0,10,1,1,2,17,3038
1,1,3,0,0,1,6,3039
1,1,6,3,0,1,12,3042
4,3,7,2,0,6,22,3043
0,0,11,0,0,2,13,3044
0,0,5,0,0,3,8,3045
2,0,5,1,1,4,13,3047
1,0,7,0,1,4,13,3048
1,1,4,0,0,4,10,3049
1,1,2,0,0,3,7,3051
1,0,7,2,0,1,11,3052
1,1,9,1,1,9,22,3053
3,6,16,5,1,7,38,3054
4,0,6,1,2,4,17,3055
1,1,18,3,0,5,28,3056
0,0,4,1,0,1,6,3057
6,1,8,1,1,6,23,3058
5,0,7,4,0,7,23,3059
3,0,7,4,0,8,22,3060
3,1,5,2,0,7,18,3061
1,1,9,2,0,9,22,3062
2,4,7,3,0,8,24,3064
0,0,8,2,0,3,13,3066
2,0,9,2,0,6,19,3068
1,0,3,1,1,1,7,3070
2,0,8,4,3,4,21,3071
1,1,9,2,0,2,15,3072
0,0,2,0,0,1,3,3073
6,3,5,1,1,8,24,3074
2,0,10,3,0,6,21,3075
2,0,4,2,0,3,11,3077
0,0,2,0,0,1,3,3079
2,2,7,1,3,7,22,3080
0,0,9,0,0,2,11,3082
5,2,8,2,3,4,24,3083
1,0,4,1,0,1,7,3084
3,2,8,2,1,9,25,3085
3,1,8,0,0,8,20,3086
5,1,4,4,1,5,20,3089
1,0,9,1,1,4,16,3090
5,2,4,2,0,5,18,3091
3,0,9,1,0,7,20,3092
3,1,8,0,0,8,20,3093
1,0,4,1,0,3,9,3095
5,0,5,1,1,4,16,3097
4,0,8,3,1,5,21,3099
2,1,6,1,0,9,19,3100
2,4,7,3,0,8,24,3101
2,0,10,3,0,6,21,3102
5,0,11,0,0,5,21,3104
1,0,8,1,1,5,16,3105
3,0,8,0,0,2,13,3106
2,0,9,0,0,2,13,3107
1,0,2,0,0,2,5,3108
3,0,8,0,0,2,13,3109
3,0,8,0,0,3,14,3111
3,0,8,0,0,2,13,3112
2,0,13,0,0,3,18,3114
1,0,12,0,1,2,16,3115
1,0,12,0,1,2,16,3116
3,0,9,1,0,9,22,3117
3,0,8,0,0,2,13,3118
3,0,8,1,0,3,15,3119
2,0,11,1,0,1,15,3120
1,0,8,1,0,1,11,3122
3,0,14,0,0,3,20,3123
3,0,6,2,0,2,13,3124
2,0,9,1,0,2,14,3125
3,0,8,0,0,2,13,3126
2,0,6,1,0,2,11,3130
3,0,6,0,0,2,11,3131
1,1,6,0,0,4,12,3132
3,0,10,0,0,2,15,3133
2,0,6,0,0,1,9,3134
4,0,4,1,0,2,11,3136
3,0,8,0,0,3,14,3137
3,0,8,1,0,3,15,3138
2,0,11,0,0,2,15,3139
4,0,8,1,0,4,17,3140
3,0,13,0,0,5,21,3141
2,0,8,0,0,1,11,3142
4,0,7,0,0,4,15,3144
2,0,4,0,0,1,7,3145
3,0,13,0,0,2,18,3147
3,1,11,0,0,2,17,3150
2,0,7,0,0,4,13,3152
4,1,4,1,1,2,13,3153
4,2,5,1,0,3,15,3154
4,1,5,1,2,5,18,3155
4,0,7,3,0,9,23,3157
0,0,7,0,0,0,7,3158
7,3,4,2,1,7,24,3159
1,0,8,2,0,6,17,3161
1,0,6,0,0,0,7,3162
0,1,9,3,1,6,20,3163
1,0,7,0,0,3,11,3165
4,0,7,0,2,8,21,3166
2,1,5,3,1,6,18,3167
1,0,4,0,0,0,5,3168
2,0,5,0,0,6,13,3170
2,0,7,5,2,6,22,3171
5,1,6,2,3,6,23,3172
5,2,9,1,1,7,25,3173
0,0,6,3,0,8,17,3174
1,1,5,1,0,3,11,3175
1,1,6,2,1,1,12,3176
1,1,9,1,1,7,20,3177
3,2,6,2,1,2,16,3179
3,0,5,2,3,11,24,3180
3,1,5,3,1,9,22,3181
2,2,6,0,1,1,12,3182
3,0,4,2,1,4,14,3183
1,0,14,2,1,4,22,3184
6,1,9,2,0,7,25,3185
2,2,4,3,1,4,16,3186
1,0,3,0,0,3,7,3188
2,1,10,2,0,8,23,3189
1,0,8,2,1,5,17,3190
1,0,9,1,0,3,14,3191
7,5,3,2,1,8,26,3192
3,1,9,0,2,5,20,3193
6,1,5,1,3,7,23,3195
5,1,9,2,0,8,25,3196
2,0,5,0,0,3,10,3197
3,0,10,2,1,6,22,3198
6,2,6,1,2,6,23,3199
7,2,10,0,2,5,26,3200
0,0,12,1,0,5,18,3201
4,1,6,0,1,2,14,3205
5,1,3,2,1,3,15,3210
5,0,9,0,1,11,26,3211
1,0,6,1,0,1,9,3212
4,0,10,1,1,11,27,3216
5,0,7,2,2,7,23,3217
4,0,10,1,1,9,25,3218
4,0,11,0,1,11,27,3219
3,1,4,1,0,3,12,3221
3,0,11,0,1,10,25,3222
6,4,7,1,1,7,26,3225
3,1,4,1,0,3,12,3227
5,2,4,1,0,5,17,3229
6,0,4,0,0,1,11,3231
6,0,9,0,1,11,27,3235
2,0,8,3,0,5,18,3236
4,0,10,1,1,10,26,3237
3,0,10,0,1,11,25,3239
4,0,10,2,1,10,27,3240
3,0,10,1,0,6,20,3241
4,1,4,1,0,2,12,3242
4,0,10,1,1,10,26,3243
5,0,10,1,1,11,28,3244
6,2,2,3,1,4,18,3245
2,0,4,1,0,1,8,3248
5,2,6,1,2,10,26,3249
4,0,6,4,1,2,17,3252
2,0,7,3,2,8,22,3253
1,0,6,2,0,2,11,3255
1,0,10,2,0,2,15,3256
5,2,11,1,0,4,23,3259
1,1,3,1,1,3,10,3260
3,0,10,0,0,4,17,3262
5,3,7,1,0,6,22,3263
2,0,4,1,0,2,9,3264
0,0,6,2,0,0,8,3265
1,0,6,2,0,2,11,3266
1,0,6,2,0,2,11,3270
1,0,9,1,0,2,13,3274
2,2,7,1,2,7,21,3275
1,1,8,0,0,0,10,3276
1,1,3,1,1,1,8,3277
0,1,3,0,0,2,6,3278
1,0,9,3,0,2,15,3280
4,3,4,1,2,6,20,3281
1,0,13,1,2,2,19,3282
3,2,7,1,2,10,25,3283
2,0,6,0,0,0,8,3284
1,1,5,1,1,2,11,3285
2,1,6,1,3,4,17,3286
1,1,2,0,1,2,7,3287
2,0,4,1,1,2,10,3288
1,0,15,2,0,2,20,3289
3,1,5,3,0,6,18,3292
7,5,4,1,2,5,24,3295
4,1,8,1,0,9,23,3296
5,5,5,2,2,6,25,3297
6,2,5,1,0,6,20,3299
1,1,10,1,0,5,18,3300
3,3,7,3,2,7,25,3301
2,1,4,1,2,2,12,3302
1,0,6,1,0,3,11,3303
1,0,2,0,0,1,4,3304
3,1,4,0,1,4,13,3308
3,0,7,2,0,6,18,3309
4,2,3,1,1,4,15,3311
8,2,4,1,5,5,25,3312
2,1,3,0,1,1,8,3317
2,3,9,2,1,5,22,3318
4,0,6,1,0,8,19,3319
2,2,4,1,1,0,10,3320
4,1,5,2,2,8,22,3322
2,1,2,0,1,3,9,3323
5,1,5,0,0,3,14,3324
1,0,1,0,1,1,4,3328
4,1,5,2,2,8,22,3329
4,0,9,2,1,6,22,3334
5,0,3,0,1,4,13,3335
5,0,10,2,1,5,23,3336
1,0,10,1,0,4,16,3337
2,0,4,1,1,3,11,3338
4,1,5,2,2,8,22,3339
4,1,5,1,2,6,19,3340
1,0,4,1,0,2,8,3341
1,1,2,1,0,0,5,3342
2,0,4,1,0,2,9,3345
3,1,6,0,4,2,16,3346
1,0,3,2,1,2,9,3347
0,0,11,0,0,2,13,3351
1,0,5,1,0,3,10,3355
2,2,3,2,1,3,13,3356
1,0,14,0,1,1,17,3357
0,0,2,1,3,4,10,3359
3,0,6,0,1,1,11,3361
3,0,6,1,1,6,17,3362
2,0,4,0,0,3,9,3363
1,0,7,0,0,4,12,3364
4,2,5,3,3,4,21,3365
3,0,8,0,0,6,17,3367
4,2,3,1,2,4,16,3368
0,0,6,0,0,2,8,3369
0,0,10,0,0,4,14,3370
0,0,5,0,0,0,5,3372
0,0,15,0,0,6,21,3373
1,0,6,0,0,4,11,3376
1,0,1,1,2,0,5,3377
2,1,5,3,0,1,12,3379
0,0,4,2,0,0,6,3380
5,1,6,2,0,9,23,3381
3,0,6,0,0,7,16,3383
0,0,15,0,0,6,21,3387
4,1,11,0,0,6,22,3388
2,1,8,0,1,5,17,3389
1,0,8,0,0,0,9,3390
0,0,8,0,0,2,10,3391
5,2,6,0,0,4,17,3393
1,0,5,0,0,2,8,3394
2,1,8,0,0,3,14,3395
3,0,7,0,0,4,14,3396
2,0,8,2,0,0,12,3397
2,0,8,2,0,7,19,3398
2,0,8,1,0,3,14,3400
1,0,7,0,1,0,9,3401
3,1,5,2,0,5,16,3402
4,2,11,2,1,8,28,3403
3,1,5,1,1,4,15,3404
5,2,9,1,0,7,24,3405
4,2,12,1,1,8,28,3406
10,4,6,1,1,4,26,3408
3,0,6,2,0,6,17,3410
2,3,6,3,1,6,21,3411
1,0,11,0,0,1,13,3412
4,1,8,1,1,5,20,3413
4,2,11,2,1,8,28,3414
2,0,6,3,0,6,17,3415
1,0,11,0,0,1,13,3417
5,1,3,2,2,4,17,3418
4,0,6,0,0,4,14,3419
4,2,11,2,1,8,28,3421
2,0,5,0,0,1,8,3423
4,2,11,2,1,8,28,3425
2,2,8,2,0,7,21,3428
2,1,1,1,0,3,8,3429
2,0,8,3,0,5,18,3430
1,0,11,0,0,1,13,3431
2,0,9,0,0,4,15,3432
3,0,3,1,0,1,8,3433
1,0,10,0,0,3,14,3435
1,0,6,1,0,4,12,3436
2,0,6,3,0,6,17,3437
3,0,4,0,0,2,9,3439
6,1,8,1,0,6,22,3440
4,2,11,2,1,8,28,3445
0,0,11,0,0,3,14,3446
5,2,6,1,1,8,23,3447
3,0,4,1,1,2,11,3448
4,0,10,0,0,4,18,3450
3,1,6,1,0,4,15,3451
1,0,7,1,0,2,11,3452
4,1,4,1,0,5,15,3455
5,0,7,4,2,4,22,3459
1,0,10,3,0,3,17,3460
4,1,9,1,1,6,22,3462
1,0,20,0,0,0,21,3463
4,3,2,2,2,2,15,3464
3,1,6,2,0,5,17,3465
5,1,5,4,0,4,19,3466
1,1,3,1,0,1,7,3468
3,0,14,2,0,3,22,3469
2,0,6,0,0,6,14,3470
0,0,8,0,0,2,10,3471
8,1,5,3,3,10,30,3472
1,0,3,0,0,3,7,3473
4,0,10,1,0,6,21,3474
2,1,9,0,0,4,16,3475
4,0,10,2,2,8,26,3476
3,0,9,1,0,4,17,3477
6,1,9,0,0,8,24,3478
3,0,9,1,1,6,20,3480
6,1,5,2,2,9,25,3481
6,1,12,0,0,8,27,3482
2,0,2,1,0,2,7,3483
4,2,2,1,5,6,20,3484
5,1,5,1,0,6,18,3485
2,0,8,1,0,3,14,3486
4,0,8,4,0,9,25,3487
2,0,10,1,1,10,24,3489
2,1,6,2,0,8,19,3490
0,1,9,0,0,1,11,3492
2,3,7,0,1,2,15,3493
1,0,2,3,0,2,8,3494
2,1,5,1,0,4,13,3495
1,0,8,0,0,6,15,3497
1,0,12,0,0,6,19,3498
6,1,5,2,2,6,22,3499
2,1,13,0,3,1,20,3500
1,0,2,0,0,3,6,3501
1,0,7,1,0,0,9,3503
2,0,5,3,0,6,16,3504
1,0,7,1,0,0,9,3505
3,0,9,2,3,4,21,3506
2,0,9,2,0,0,13,3508
6,2,12,5,0,4,29,3509
2,0,8,1,0,0,11,3510
2,0,8,1,0,0,11,3512
1,0,7,1,1,11,21,3513
0,0,11,1,0,2,14,3514
1,0,7,1,0,0,9,3517
2,0,12,1,0,7,22,3518
2,0,6,1,1,1,11,3519
2,0,12,1,0,7,22,3520
2,2,6,0,2,9,21,3521
1,0,7,1,0,0,9,3522
0,1,16,0,0,4,21,3523
2,0,12,1,0,7,22,3524
5,3,4,3,2,4,21,3525
1,0,7,1,0,1,10,3526
1,0,7,4,0,5,17,3527
4,0,6,0,1,2,13,3528
2,0,5,2,0,4,13,3529
5,0,9,1,0,2,17,3530
2,0,6,0,0,3,11,3531
2,0,11,1,0,6,20,3532
1,0,8,2,0,4,15,3533
1,0,7,4,0,5,17,3534
2,0,7,0,0,3,12,3535
1,0,6,2,0,4,13,3536
0,0,8,1,0,2,11,3537
1,0,8,1,0,1,11,3540
0,0,9,0,2,5,16,3542
2,1,7,1,0,9,20,3543
2,1,8,3,1,10,25,3544
0,0,8,1,0,4,13,3548
0,0,11,1,0,2,14,3549
3,0,9,2,0,5,19,3550
1,0,7,1,0,0,9,3552
5,0,8,1,2,6,22,3554
2,2,7,1,1,6,19,3555
3,0,11,0,1,7,22,3557
1,0,8,0,0,2,11,3560
2,0,6,2,1,4,15,3565
1,0,8,1,0,5,15,3566
1,0,7,0,0,5,13,3567
7,1,5,2,2,7,24,3568
2,0,9,1,1,5,18,3569
0,0,5,1,0,4,10,3570
5,2,7,1,1,4,20,3572
3,0,5,2,1,11,22,3573
3,4,6,2,0,8,23,3575
1,0,4,1,0,0,6,3578
3,1,4,3,1,2,14,3581
2,1,14,2,0,4,23,3582
2,3,7,0,0,9,21,3583
4,2,7,2,1,8,24,3584
1,0,1,0,0,0,2,3585
